Sample copy: identifying values are redacted where present; diagnostic results are retained.

Collection started: 2026-09-09 08:33:42 -0500
Collection ended:   2026-09-09 08:33:45 -0500
Script version:     2.2.0
Source revision:    cee9c63

Probe: Loaded extensions
Result: OK
Exit code: 0
Command: kextstat

Executing: /usr/bin/kmutil showloaded
No variant specified, falling back to release
Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
    1  113 0                  0          0          com.apple.kpi.bsd (21.6.0) AAF3C70C-3331-335A-96FB-D338CFE178F0 <>
    2   11 0                  0          0          com.apple.kpi.dsep (21.6.0) AAF3C70C-3331-335A-96FB-D338CFE178F0 <>
    3  153 0                  0          0          com.apple.kpi.iokit (21.6.0) AAF3C70C-3331-335A-96FB-D338CFE178F0 <>
    4    0 0                  0          0          com.apple.kpi.kasan (21.6.0) AAF3C70C-3331-335A-96FB-D338CFE178F0 <>
    5    0 0                  0          0          com.apple.kpi.kcov (21.6.0) AAF3C70C-3331-335A-96FB-D338CFE178F0 <>
    6  158 0                  0          0          com.apple.kpi.libkern (21.6.0) AAF3C70C-3331-335A-96FB-D338CFE178F0 <>
    7  141 0                  0          0          com.apple.kpi.mach (21.6.0) AAF3C70C-3331-335A-96FB-D338CFE178F0 <>
    8  103 0                  0          0          com.apple.kpi.private (21.6.0) AAF3C70C-3331-335A-96FB-D338CFE178F0 <>
    9   94 0                  0          0          com.apple.kpi.unsupported (21.6.0) AAF3C70C-3331-335A-96FB-D338CFE178F0 <>
   10   11 0xffffff80036c6000 0x81000    0x81000    com.apple.kec.corecrypto (12.0) F0AA1E3F-4D46-30CA-A827-FFE2100593EB <9 8 7 6 3 1>
   11    0 0xffffff80017d4000 0x3000     0x3000     com.apple.kec.AppleEncryptedArchive (1) 60B99F71-CDF4-3540-B742-4BECFB1651DF <10 8 7 6>
   12    2 0xffffff800346e000 0xe000     0xe000     com.apple.kec.Libm (1) 56DC1ACA-78DE-3DC6-8E25-EF0FA146B637 <6>
   13    0 0xffffff800376a000 0x7000     0x7000     com.apple.kec.pthread (1) 92617A12-391A-3204-B426-E85ACA975B7D <9 8 7 6 3 1>
   14    1 0xffffff800377e000 0x3000     0x3000     com.apple.driver.watchdog (1) F0AE4794-0AD0-3919-ABFE-101DD2816E55 <9 8 7 6 3 1>
   15   29 0xffffff800298f000 0x2000     0x2000     com.apple.iokit.IOACPIFamily (1.4) CF3E5E8F-66A5-37F1-859E-5B246A8316AB <9 8 6 3>
   16   34 0xffffff8002e38000 0x2d000    0x2d000    com.apple.iokit.IOPCIFamily (2.9) 9B40C2BD-55D8-3572-912C-A55E1B34C673 <9 8 7 6 3>
   17   12 0xffffff8001a70000 0x19000    0x19000    com.apple.driver.AppleSMC (3.1.9) 372CB5EE-DACA-376C-A3CF-13A8431B7906 <16 15 14 9 8 7 6 3 1>
   18    2 0xffffff8001369000 0x78000    0x78000    com.apple.driver.AppleACPIPlatform (6.1) 2F456E1D-166C-31D8-AC90-621602F5FF8C <17 16 15 9 8 7 6 3 1>
   19    5 0xffffff8002f73000 0x2000     0x2000     com.apple.driver.IOSlaveProcessor (1) 0561BE5A-FB18-3A16-B1ED-3B33EFB9C123 <8 7 6 3>
   20    3 0xffffff8001a56000 0xe000     0xe000     com.apple.driver.AppleSEPManager (1.0.1) 5A47206C-EDB4-3CD3-BA26-21D281B263E8 <19 16 10 9 8 7 6 3 1>
   21    1 0xffffff80016d9000 0x4000     0x4000     com.apple.driver.AppleBusPowerController (1.0) AE50CE26-A44F-342B-9B37-294D23236491 <17 15 8 7 6 3>
   22    9 0xffffff8001be4000 0x4000     0x4000     com.apple.driver.usb.AppleUSBCommon (1.0) 24C46788-3C16-373D-8B17-F5B6E033B1C6 <7 6 3 1>
   23    1 0xffffff80032c2000 0x1000     0x1000     com.apple.driver.AppleUSBHostMergeProperties (1.2) F01905BA-885C-348D-A818-EC0DF212240F <6 3 1>
   24   15 0xffffff80031bd000 0x92000    0x92000    com.apple.iokit.IOUSBHostFamily (1.2) 246D556C-ADDA-3646-9C29-30098B4C74C1 <23 22 21 17 15 9 8 7 6 3 1>
   25    3 0xffffff8003456000 0xf000     0xf000     com.apple.driver.KernelRelayHost (1) F8E8E316-80E0-3C30-B819-B1FE97077DB0 <24 7 6 3>
   26    1 0xffffff800174a000 0x5c000    0x5c000    com.apple.driver.AppleCredentialManager (1.0) CF1A4273-36FA-3185-B753-A1C49BAAFF74 <25 20 19 10 9 8 7 6 3 1>
   27    2 0xffffff80017c8000 0x6000     0x6000     com.apple.driver.AppleEffaceableStorage (1.0) 90741310-EEBA-385F-87A8-966F3474A1D4 <9 7 6 3 1>
   28    0 0xffffff80017d8000 0x6000     0x6000     com.apple.driver.AppleFDEKeyStore (28.30) B423D05A-75FF-3B59-B15D-017F8D69FE7C <27 10 9 8 7 6 3 1>
   29    3 0xffffff8001daf000 0x9000     0x9000     com.apple.kext.CoreTrust (1) 125E8E50-8FE2-3A80-BC25-EA28067B6A36 <10 8 6>
   30    2 0xffffff800184f000 0x19000    0x19000    com.apple.security.AppleImage4 (4.2.0) A28C4160-4E4C-3ED2-A1B6-55CCB9BB23C5 <29 10 9 8 7 6 3 2 1>
   31    8 0xffffff80019b1000 0x23000    0x23000    com.apple.driver.AppleMobileFileIntegrity (1.0.5) 3D149A6E-2547-3ACE-95BF-6B1FE333E6E7 <30 29 10 9 8 7 6 3 2 1>
   32    3 0xffffff8002e7c000 0x15000    0x15000    com.apple.iokit.IOSCSIArchitectureModelFamily (456.140.3) 4D28BDB3-1960-3577-A9DD-7E91B8A13A54 <8 7 6 3 1>
   33   10 0xffffff8002f7d000 0x17000    0x17000    com.apple.iokit.IOStorageFamily (2.1) 5006F6CE-5418-3CE0-8B78-BA86707895E7 <9 8 7 6 3 1>
   34    1 0xffffff8002ea4000 0xe000     0xe000     com.apple.iokit.IOSCSIBlockCommandsDevice (456.140.3) 4E63CE7D-1CFB-3ACC-9AFE-00F2AC996206 <33 32 8 7 6 3 1>
   35    1 0xffffff8003431000 0x1a000    0x1a000    com.apple.iokit.IOUSBMassStorageDriver (210.120.3) EEC2B6BB-A07E-3DBE-A9B9-09FB402AB95D <33 32 24 16 8 7 6 3 1>
   36    1 0xffffff8001ad8000 0x8000     0x8000     com.apple.driver.AppleUSBTDM (533.120.2) 690CFDA1-BD24-3ECF-AA61-481E14392834 <35 34 33 32 31 24 9 8 7 6 3 1>
   37    0 0xffffff80018f0000 0x97000    0x97000    com.apple.driver.AppleKeyStore (2) 3F5CC996-B22B-3F3C-A19A-4D97F242D9AD <36 31 29 26 25 20 19 10 9 8 7 6 3 1>
   38    0 0xffffff8001a93000 0x8000     0x8000     com.apple.driver.AppleSSE (1.0) 5580AFAB-05EA-3151-998F-EB1FF8C29BE0 <25 20 19 9 8 7 6 3 1>
   39    3 0xffffff8001cd4000 0x8000     0x8000     com.apple.iokit.CoreAnalyticsFamily (1) 25FC3F37-26FC-36F5-B02A-F13ED995B679 <9 8 7 6 3 1>
   40    0 0xffffff8001dba000 0x3000     0x3000     com.apple.Dont_Steal_Mac_OS_X (7.0.0) 4B2B0E9B-8C48-37DC-98B7-9A850963E37F <17 10 9 8 6 3 1>
   41    2 0xffffff80019ad000 0x3000     0x3000     com.apple.kext.AppleMatch (1.0.0d1) BA00A09C-DD61-3C7F-AA14-428D3D602680 <6 1>
   42    3 0xffffff80034a2000 0x51000    0x51000    com.apple.security.sandbox (300.0) E67F2574-6677-3B37-B213-8B1E781C1039 <41 33 31 9 8 7 6 3 2 1>
   43    2 0xffffff8003498000 0x9000     0x9000     com.apple.security.quarantine (4) 87156DA5-C946-395E-93B9-83F05490732B <42 41 9 8 7 6 3 2 1>
   44    0 0xffffff8001dc0000 0x56000    0x56000    com.apple.iokit.EndpointSecurity (1) 8DC32F5D-FB48-3D0E-A28C-FA25BB3F5D61 <43 31 9 8 7 6 3 2 1>
   45    8 0xffffff8002e76000 0x3000     0x3000     com.apple.iokit.IOReportFamily (47) BD75A768-680E-3DE4-A887-EFF19D68BE27 <8 7 6 3>
   46    2 0xffffff8002a04000 0x37000    0x37000    com.apple.iokit.IOBluetoothFamily (9.0.0) A43CC953-BEB5-36B0-BFE8-B38D60CB0D54 <45 24 15 9 8 7 6 3 1>
   47    0 0xffffff8002a80000 0xc000     0xc000     com.apple.driver.DiskImages (493.0.0) 9AB412C1-FBDE-3F90-9715-6C5015A78138 <33 9 8 7 6 3 1>
   48    0 0xffffff8002b60000 0x1000     0x1000     com.apple.iokit.IOKitRegistryCompatibility (1) 1F343A7E-7F6C-3CE5-B905-EF9A3EAD17E3 <6 3>
   49   11 0xffffff8002b9a000 0x17000    0x17000    com.apple.iokit.IONetworkingFamily (3.4) E051C017-65DB-334E-AC42-792CC7A09BFA <9 8 7 6 3 1>
   50    2 0xffffff80030e2000 0x1d000    0x1d000    com.apple.iokit.IOTimeSyncFamily (1040.3) B0EFF197-38FE-33A9-B3BD-59DD7FFBB17A <49 8 7 6 3 1>
   51    0 0xffffff8001360000 0x8000     0x8000     com.apple.nke.applicationfirewall (402) 5E6681D3-56BC-3CFB-BD09-BB0C69189D40 <9 8 7 6 3 1>
   52    0 0xffffff8001afa000 0xe000     0xe000     com.apple.AppleSystemPolicy (2.0.0) 9AEF80C1-B557-33CF-AF58-BE057FEB84C1 <43 42 31 9 8 7 6 3 2 1>
   53    0 0xffffff8001411000 0x2000     0x2000     com.apple.driver.AppleAPIC (1.7) 0362FF7F-0BC5-3A50-83EA-2E2AEBDC3C8E <16 6 3>
   54   10 0xffffff8002acb000 0x5e000    0x5e000    com.apple.iokit.IOHIDFamily (2.0.0) DDA3DAE6-EE61-39EF-B1DE-44DAB8EF40FC <45 9 8 7 6 3 2 1>
   55    3 0xffffff8002f03000 0x1000     0x1000     com.apple.iokit.IOSMBusFamily (1.1) 2D0607F4-96F1-3D3F-BF7B-E00984DFBA9E <7 6 3>
   56    0 0xffffff80013f7000 0x6000     0x6000     com.apple.driver.AppleACPIEC (6.1) 2046C558-E233-3863-AE45-5F99B074D3A4 <55 54 45 18 15 9 8 7 6 3 1>
   57    0 0xffffff8001a6b000 0x3000     0x3000     com.apple.driver.AppleSMBIOS (2.1) 1CB9C255-00BD-3192-AE63-C1F51DB1A18C <9 6 3>
   58    0 0xffffff800181a000 0x2000     0x2000     com.apple.driver.AppleHPET (1.8) A5A9F694-D10A-3E91-B40E-EB03B6583D5F <15 9 7 6 3>
   59    0 0xffffff80013f0000 0x3000     0x3000     com.apple.driver.AppleACPIButtons (6.1) 6115C1A8-B433-36BD-88A6-4A0AAE943F05 <54 45 18 15 9 8 7 6 3 1>
   60    2 0xffffff80017ae000 0x2000     0x2000     com.apple.driver.AppleEFIRuntime (2.1) C31B8E44-3673-3E17-8283-503429F90F25 <9 8 7 6 3>
   61    0 0xffffff8001a31000 0x6000     0x6000     com.apple.driver.AppleRTC (2.0.1) B335D9C5-04F2-35FE-A49C-C6C589F0E00F <15 9 7 6 3 1>
   62    2 0xffffff80017b2000 0xa000     0xa000     com.apple.driver.AppleEFINVRAM (2.1) 7E635012-A6A2-3B98-9D61-BCA6D1FCB528 <60 9 8 7 6 3 1>
   63    0 0xffffff8001a9e000 0x14000    0x14000    com.apple.driver.AppleSmartBatteryManager (161.0.0) 870661CC-DA36-3218-8C6F-8FFA7B47B883 <55 17 15 7 6 3 1>
   64    1 0xffffff800336d000 0x4f000    0x4f000    com.apple.driver.usb.AppleUSBXHCI (1.2) 656B6752-2348-3CF8-AEA6-245BDA929A0E <24 22 15 9 8 7 6 3 1>
   65    0 0xffffff80033c6000 0x2a000    0x2a000    com.apple.driver.usb.AppleUSBXHCIPCI (1.2) 05C8EED4-74EF-3C41-8A65-7096630C240D <64 24 22 16 15 9 8 7 6 3 1>
